+-------+-----+-----+-----+-----+-----+--------+--------------------+-------+-------+---------+-------+-------+-------+-------+--------+-------------+-------------+--------------+-------------+
| COUNT | 1XX | 2XX | 3XX | 4XX | 5XX | METHOD |        URI         |  MIN  |  MAX  |   SUM   |  AVG  |  P90  |  P95  |  P99  | STDDEV |  MIN(BODY)  |  MAX(BODY)  |  SUM(BODY)   |  AVG(BODY)  |
+-------+-----+-----+-----+-----+-----+--------+--------------------+-------+-------+---------+-------+-------+-------+-------+--------+-------------+-------------+--------------+-------------+
| 99    | 0   | 99  | 0   | 0   | 0   | GET    | /                  | 0.903 | 5.443 | 461.331 | 4.660 | 5.309 | 5.359 | 5.443 | 1.072  | 4980.000    | 6045.000    | 548244.000   | 5537.818    |
| 19    | 0   | 19  | 0   | 0   | 0   | GET    | /posts             | 0.826 | 5.313 | 66.135  | 3.481 | 5.310 | 5.313 | 5.313 | 1.925  | 5012.000    | 5438.000    | 98133.000    | 5164.895    |
| 2     | 0   | 2   | 0   | 0   | 0   | GET    | /@carol            | 2.289 | 2.792 | 5.081   | 2.540 | 2.792 | 2.792 | 2.792 | 0.251  | 3068.000    | 3068.000    | 6136.000     | 3068.000    |
| 1     | 0   | 1   | 0   | 0   | 0   | GET    | /@grace            | 3.853 | 3.853 | 3.853   | 3.853 | 3.853 | 3.853 | 3.853 | 0.000  | 4667.000    | 4667.000    | 4667.000     | 4667.000    |
| 69    | 0   | 0   | 69  | 0   | 0   | POST   | /login             | 0.021 | 0.119 | 3.170   | 0.046 | 0.073 | 0.094 | 0.119 | 0.029  | 0.000       | 0.000       | 0.000        | 0.000       |
| 1     | 0   | 1   | 0   | 0   | 0   | GET    | /@connie           | 3.079 | 3.079 | 3.079   | 3.079 | 3.079 | 3.079 | 3.079 | 0.000  | 3628.000    | 3628.000    | 3628.000     | 3628.000    |
| 1     | 0   | 1   | 0   | 0   | 0   | GET    | /@eloise           | 3.018 | 3.018 | 3.018   | 3.018 | 3.018 | 3.018 | 3.018 | 0.000  | 3593.000    | 3593.000    | 3593.000     | 3593.000    |
| 1     | 0   | 1   | 0   | 0   | 0   | GET    | /@audrey           | 2.910 | 2.910 | 2.910   | 2.910 | 2.910 | 2.910 | 2.910 | 0.000  | 3393.000    | 3393.000    | 3393.000     | 3393.000    |
| 1     | 0   | 1   | 0   | 0   | 0   | GET    | /@carla            | 2.897 | 2.897 | 2.897   | 2.897 | 2.897 | 2.897 | 2.897 | 0.000  | 3816.000    | 3816.000    | 3816.000     | 3816.000    |
| 1     | 0   | 1   | 0   | 0   | 0   | GET    | /@dorothea         | 2.858 | 2.858 | 2.858   | 2.858 | 2.858 | 2.858 | 2.858 | 0.000  | 3704.000    | 3704.000    | 3704.000     | 3704.000    |
| 1     | 0   | 1   | 0   | 0   | 0   | GET    | /@ashley           | 2.839 | 2.839 | 2.839   | 2.839 | 2.839 | 2.839 | 2.839 | 0.000  | 3531.000    | 3531.000    | 3531.000     | 3531.000    |
| 1     | 0   | 1   | 0   | 0   | 0   | GET    | /@camille          | 2.771 | 2.771 | 2.771   | 2.771 | 2.771 | 2.771 | 2.771 | 0.000  | 2998.000    | 2998.000    | 2998.000     | 2998.000    |
| 1     | 0   | 1   | 0   | 0   | 0   | GET    | /@alison           | 2.765 | 2.765 | 2.765   | 2.765 | 2.765 | 2.765 | 2.765 | 0.000  | 3496.000    | 3496.000    | 3496.000     | 3496.000    |
| 1     | 0   | 1   | 0   | 0   | 0   | GET    | /@effie            | 2.758 | 2.758 | 2.758   | 2.758 | 2.758 | 2.758 | 2.758 | 0.000  | 3484.000    | 3484.000    | 3484.000     | 3484.000    |
| 1     | 0   | 1   | 0   | 0   | 0   | GET    | /@judy             | 2.752 | 2.752 | 2.752   | 2.752 | 2.752 | 2.752 | 2.752 | 0.000  | 3495.000    | 3495.000    | 3495.000     | 3495.000    |
| 1     | 0   | 1   | 0   | 0   | 0   | GET    | /@louisa           | 2.718 | 2.718 | 2.718   | 2.718 | 2.718 | 2.718 | 2.718 | 0.000  | 3635.000    | 3635.000    | 3635.000     | 3635.000    |
| 1     | 0   | 1   | 0   | 0   | 0   | GET    | /@april            | 2.672 | 2.672 | 2.672   | 2.672 | 2.672 | 2.672 | 2.672 | 0.000  | 3560.000    | 3560.000    | 3560.000     | 3560.000    |
