+-------+-----+------+-----+-----+-----+--------+--------------------+-------+-------+---------+-------+-------+-------+-------+--------+-------------+-------------+---------------+-------------+
| COUNT | 1XX | 2XX  | 3XX | 4XX | 5XX | METHOD |        URI         |  MIN  |  MAX  |   SUM   |  AVG  |  P90  |  P95  |  P99  | STDDEV |  MIN(BODY)  |  MAX(BODY)  |   SUM(BODY)   |  AVG(BODY)  |
+-------+-----+------+-----+-----+-----+--------+--------------------+-------+-------+---------+-------+-------+-------+-------+--------+-------------+-------------+---------------+-------------+
| 1225  | 0   | 1225 | 0   | 0   | 0   | GET    | /                  | 0.037 | 0.323 | 213.730 | 0.174 | 0.221 | 0.232 | 0.268 | 0.035  | 2517.000    | 6046.000    | 3703694.000   | 3023.424    |
| 240   | 0   | 240  | 0   | 0   | 0   | GET    | /posts             | 0.034 | 0.389 | 67.602  | 0.282 | 0.337 | 0.349 | 0.386 | 0.051  | 4968.000    | 5805.000    | 1283318.000   | 5347.158    |
| 905   | 0   | 0    | 905 | 0   | 0   | POST   | /login             | 0.001 | 0.097 | 25.476  | 0.028 | 0.045 | 0.049 | 0.064 | 0.014  | 0.000       | 0.000       | 0.000         | 0.000       |
| 232   | 0   | 0    | 116 | 116 | 0   | POST   | /                  | 0.001 | 0.214 | 7.310   | 0.032 | 0.075 | 0.087 | 0.146 | 0.033  | 0.000       | 0.000       | 0.000         | 0.000       |
| 140   | 0   | 0    | 140 | 0   | 0   | POST   | /register          | 0.014 | 0.164 | 5.754   | 0.041 | 0.058 | 0.062 | 0.084 | 0.017  | 0.000       | 0.000       | 0.000         | 0.000       |
| 2086  | 0   | 2086 | 0   | 0   | 0   | GET    | /favicon.ico       | 0.001 | 0.037 | 4.835   | 0.002 | 0.005 | 0.008 | 0.015 | 0.003  | 43.000      | 43.000      | 89698.000     | 43.000      |
| 2086  | 0   | 2086 | 0   | 0   | 0   | GET    | /css/style.css     | 0.000 | 0.056 | 4.642   | 0.002 | 0.005 | 0.008 | 0.015 | 0.003  | 1549.000    | 1549.000    | 3231214.000   | 1549.000    |
| 2086  | 0   | 2086 | 0   | 0   | 0   | GET    | /js/timeago.min.js | 0.001 | 0.023 | 4.481   | 0.002 | 0.005 | 0.007 | 0.014 | 0.003  | 1915.000    | 1915.000    | 3994690.000   | 1915.000    |
| 2086  | 0   | 2086 | 0   | 0   | 0   | GET    | /js/main.js        | 0.004 | 0.023 | 4.463   | 0.002 | 0.005 | 0.007 | 0.014 | 0.003  | 1824.000    | 1824.000    | 3804864.000   | 1824.000    |
| 131   | 0   | 0    | 131 | 0   | 0   | POST   | /comment           | 0.006 | 0.106 | 2.227   | 0.017 | 0.024 | 0.036 | 0.071 | 0.012  | 0.000       | 0.000       | 0.000         | 0.000       |
