+-------+-----+-------+------+-----+-----+--------+--------------------+-------+-------+---------+-------+-------+-------+-------+--------+-----------+-------------+-----------------+------------+
| COUNT | 1XX |  2XX  | 3XX  | 4XX | 5XX | METHOD |        URI         |  MIN  |  MAX  |   SUM   |  AVG  |  P90  |  P95  |  P99  | STDDEV | MIN(BODY) |  MAX(BODY)  |    SUM(BODY)    | AVG(BODY)  |
+-------+-----+-------+------+-----+-----+--------+--------------------+-------+-------+---------+-------+-------+-------+-------+--------+-----------+-------------+-----------------+------------+
| 2434  | 0   | 2434  | 0    | 0   | 0   | GET    | /                  | 0.011 | 0.209 | 211.106 | 0.087 | 0.123 | 0.140 | 0.174 | 0.029  | 2640.000  | 6073.000    | 7534991.000     | 3095.724   |
| 520   | 0   | 520   | 0    | 0   | 0   | GET    | /posts             | 0.108 | 0.276 | 88.671  | 0.171 | 0.201 | 0.211 | 0.234 | 0.024  | 4966.000  | 5853.000    | 2790275.000     | 5365.913   |
| 3076  | 0   | 3076  | 0    | 0   | 0   | GET    | /posts/(\d+)       | 0.001 | 0.102 | 69.071  | 0.022 | 0.042 | 0.052 | 0.071 | 0.014  | 708.000   | 2055.000    | 3986403.000     | 1295.970   |
| 500   | 0   | 500   | 0    | 0   | 0   | GET    | /@                 | 0.010 | 0.193 | 48.529  | 0.097 | 0.140 | 0.156 | 0.177 | 0.034  | 1348.000  | 5538.000    | 1631386.000     | 3262.772   |
| 1705  | 0   | 0     | 1705 | 0   | 0   | POST   | /login             | 0.001 | 0.096 | 45.672  | 0.027 | 0.045 | 0.051 | 0.063 | 0.014  | 0.000     | 0.000       | 0.000           | 0.000      |
| 43277 | 0   | 43277 | 0    | 0   | 0   | GET    | /image/*           | 0.000 | 0.064 | 11.410  | 0.000 | 0.000 | 0.001 | 0.006 | 0.002  | 32329.000 | 1095739.000 | 13673888990.000 | 315962.035 |
| 362   | 0   | 0     | 181  | 181 | 0   | POST   | /                  | 0.001 | 0.196 | 10.521  | 0.029 | 0.089 | 0.097 | 0.120 | 0.034  | 0.000     | 0.000       | 0.000           | 0.000      |
| 233   | 0   | 0     | 233  | 0   | 0   | POST   | /register          | 0.012 | 0.091 | 9.407   | 0.040 | 0.060 | 0.068 | 0.081 | 0.014  | 0.000     | 0.000       | 0.000           | 0.000      |
| 237   | 0   | 0     | 237  | 0   | 0   | POST   | /comment           | 0.004 | 0.086 | 3.545   | 0.015 | 0.027 | 0.040 | 0.055 | 0.011  | 0.000     | 0.000       | 0.000           | 0.000      |
| 582   | 0   | 582   | 0    | 0   | 0   | GET    | /login             | 0.001 | 0.040 | 2.991   | 0.005 | 0.013 | 0.016 | 0.025 | 0.006  | 615.000   | 615.000     | 357930.000      | 615.000    |
| 291   | 0   | 0     | 291  | 0   | 0   | GET    | /logout            | 0.000 | 0.094 | 2.157   | 0.007 | 0.015 | 0.020 | 0.044 | 0.009  | 24.000    | 24.000      | 6984.000        | 24.000     |
| 233   | 0   | 0     | 0    | 233 | 0   | GET    | /admin/banned      | 0.001 | 0.049 | 1.200   | 0.005 | 0.011 | 0.017 | 0.028 | 0.006  | 0.000     | 0.000       | 0.000           | 0.000      |
| 1     | 0   | 1     | 0    | 0   | 0   | GET    | /initialize        | 0.461 | 0.461 | 0.461   | 0.461 | 0.461 | 0.461 | 0.461 | 0.000  | 0.000     | 0.000       | 0.000           | 0.000      |
| 4290  | 0   | 4290  | 0    | 0   | 0   | GET    | /favicon.ico       | 0.000 | 0.000 | 0.000   | 0.000 | 0.000 | 0.000 | 0.000 | 0.000  | 43.000    | 43.000      | 184470.000      | 43.000     |
| 4290  | 0   | 4290  | 0    | 0   | 0   | GET    | /js/timeago.min.js | 0.000 | 0.000 | 0.000   | 0.000 | 0.000 | 0.000 | 0.000 | 0.000  | 1915.000  | 1915.000    | 8215350.000     | 1915.000   |
| 4290  | 0   | 4290  | 0    | 0   | 0   | GET    | /js/main.js        | 0.000 | 0.000 | 0.000   | 0.000 | 0.000 | 0.000 | 0.000 | 0.000  | 1824.000  | 1824.000    | 7824960.000     | 1824.000   |
| 4290  | 0   | 4290  | 0    | 0   | 0   | GET    | /css/style.css     | 0.000 | 0.000 | 0.000   | 0.000 | 0.000 | 0.000 | 0.000 | 0.000  | 1549.000  | 1549.000    | 6645210.000     | 1549.000   |
+-------+-----+-------+------+-----+-----+--------+--------------------+-------+-------+---------+-------+-------+-------+-------+--------+-----------+-------------+-----------------+------------+
