+-------+-----+-------+------+-----+-----+--------+--------------------+-------+-------+--------+-------+-------+-------+-------+--------+-----------+-------------+-----------------+------------+
| COUNT | 1XX |  2XX  | 3XX  | 4XX | 5XX | METHOD |        URI         |  MIN  |  MAX  |  SUM   |  AVG  |  P90  |  P95  |  P99  | STDDEV | MIN(BODY) |  MAX(BODY)  |    SUM(BODY)    | AVG(BODY)  |
+-------+-----+-------+------+-----+-----+--------+--------------------+-------+-------+--------+-------+-------+-------+-------+--------+-----------+-------------+-----------------+------------+
| 500   | 0   | 500   | 0    | 0   | 0   | GET    | /posts             | 0.037 | 0.268 | 87.079 | 0.174 | 0.214 | 0.224 | 0.241 | 0.037  | 4963.000  | 5807.000    | 2670242.000     | 5340.484   |
| 2649  | 0   | 0     | 2649 | 0   | 0   | POST   | /login             | 0.012 | 0.074 | 72.949 | 0.028 | 0.044 | 0.049 | 0.061 | 0.013  | 0.000     | 0.000       | 0.000           | 0.000      |
| 3003  | 0   | 3003  | 0    | 0   | 0   | GET    | /posts/(\d+)       | 0.002 | 0.111 | 69.854 | 0.023 | 0.044 | 0.055 | 0.071 | 0.015  | 700.000   | 1891.000    | 3818000.000     | 1271.395   |
| 560   | 0   | 560   | 0    | 0   | 0   | GET    | /@                 | 0.013 | 0.207 | 52.760 | 0.094 | 0.142 | 0.155 | 0.186 | 0.037  | 1348.000  | 5427.000    | 1846977.000     | 3298.173   |
| 4130  | 0   | 4130  | 0    | 0   | 0   | GET    | /                  | 0.001 | 0.051 | 38.000 | 0.009 | 0.018 | 0.024 | 0.035 | 0.007  | 2580.000  | 2940.000    | 11417090.000    | 2764.429   |
| 556   | 0   | 0     | 556  | 0   | 0   | POST   | /register          | 0.014 | 0.100 | 22.381 | 0.040 | 0.058 | 0.067 | 0.081 | 0.014  | 0.000     | 0.000       | 0.000           | 0.000      |
| 594   | 0   | 0     | 297  | 297 | 0   | POST   | /                  | 0.001 | 0.189 | 20.608 | 0.035 | 0.098 | 0.111 | 0.135 | 0.038  | 0.000     | 0.000       | 0.000           | 0.000      |
| 56951 | 0   | 56951 | 0    | 0   | 0   | GET    | /image/*           | 0.000 | 0.047 | 17.520 | 0.000 | 0.000 | 0.002 | 0.007 | 0.002  | 31873.000 | 1197974.000 | 22829099746.000 | 400855.117 |
| 329   | 0   | 0     | 329  | 0   | 0   | POST   | /comment           | 0.005 | 0.045 | 4.717  | 0.014 | 0.026 | 0.031 | 0.039 | 0.007  | 0.000     | 0.000       | 0.000           | 0.000      |
| 780   | 0   | 780   | 0    | 0   | 0   | GET    | /login             | 0.001 | 0.035 | 3.429  | 0.004 | 0.009 | 0.013 | 0.020 | 0.004  | 615.000   | 615.000     | 479700.000      | 615.000    |
| 556   | 0   | 0     | 0    | 556 | 0   | GET    | /admin/banned      | 0.001 | 0.043 | 3.015  | 0.005 | 0.012 | 0.016 | 0.029 | 0.006  | 0.000     | 0.000       | 0.000           | 0.000      |
| 390   | 0   | 0     | 390  | 0   | 0   | GET    | /logout            | 0.003 | 0.033 | 1.787  | 0.005 | 0.010 | 0.015 | 0.023 | 0.005  | 24.000    | 24.000      | 9360.000        | 24.000     |
| 1     | 0   | 1     | 0    | 0   | 0   | GET    | /initialize        | 0.025 | 0.025 | 0.025  | 0.025 | 0.025 | 0.025 | 0.025 | 0.000  | 0.000     | 0.000       | 0.000           | 0.000      |
| 4703  | 0   | 4703  | 0    | 0   | 0   | GET    | /favicon.ico       | 0.000 | 0.000 | 0.000  | 0.000 | 0.000 | 0.000 | 0.000 | 0.000  | 43.000    | 43.000      | 202229.000      | 43.000     |
| 4703  | 0   | 4703  | 0    | 0   | 0   | GET    | /js/timeago.min.js | 0.000 | 0.000 | 0.000  | 0.000 | 0.000 | 0.000 | 0.000 | 0.000  | 1915.000  | 1915.000    | 9006245.000     | 1915.000   |
| 4703  | 0   | 4703  | 0    | 0   | 0   | GET    | /js/main.js        | 0.000 | 0.000 | 0.000  | 0.000 | 0.000 | 0.000 | 0.000 | 0.000  | 1824.000  | 1824.000    | 8578272.000     | 1824.000   |
| 4703  | 0   | 4703  | 0    | 0   | 0   | GET    | /css/style.css     | 0.000 | 0.000 | 0.000  | 0.000 | 0.000 | 0.000 | 0.000 | 0.000  | 1549.000  | 1549.000    | 7284947.000     | 1549.000   |
+-------+-----+-------+------+-----+-----+--------+--------------------+-------+-------+--------+-------+-------+-------+-------+--------+-----------+-------------+-----------------+------------+
