+-------+-----+-------+------+-----+-----+--------+--------------------+-------+-------+--------+-------+-------+-------+-------+--------+-----------+-------------+-----------------+------------+
| COUNT | 1XX |  2XX  | 3XX  | 4XX | 5XX | METHOD |        URI         |  MIN  |  MAX  |  SUM   |  AVG  |  P90  |  P95  |  P99  | STDDEV | MIN(BODY) |  MAX(BODY)  |    SUM(BODY)    | AVG(BODY)  |
+-------+-----+-------+------+-----+-----+--------+--------------------+-------+-------+--------+-------+-------+-------+-------+--------+-----------+-------------+-----------------+------------+
| 2866  | 0   | 0     | 2866 | 0   | 0   | POST   | /login             | 0.001 | 0.058 | 77.584 | 0.027 | 0.040 | 0.043 | 0.050 | 0.012  | 0.000     | 0.000       | 0.000           | 0.000      |
| 720   | 0   | 720   | 0    | 0   | 0   | GET    | /posts             | 0.009 | 0.183 | 76.862 | 0.107 | 0.134 | 0.142 | 0.160 | 0.024  | 4944.000  | 5837.000    | 3845381.000     | 5340.807   |
| 3430  | 0   | 3430  | 0    | 0   | 0   | GET    | /posts/(\d+)       | 0.002 | 0.064 | 64.952 | 0.019 | 0.030 | 0.034 | 0.044 | 0.008  | 701.000   | 1910.000    | 4354769.000     | 1269.612   |
| 631   | 0   | 631   | 0    | 0   | 0   | GET    | /@                 | 0.020 | 0.164 | 53.871 | 0.085 | 0.121 | 0.131 | 0.147 | 0.025  | 1721.000  | 5540.000    | 2050700.000     | 3249.921   |
| 4488  | 0   | 4488  | 0    | 0   | 0   | GET    | /                  | 0.001 | 0.036 | 33.241 | 0.007 | 0.012 | 0.015 | 0.020 | 0.004  | 2479.000  | 2978.000    | 12214040.000    | 2721.488   |
| 621   | 0   | 0     | 621  | 0   | 0   | POST   | /register          | 0.013 | 0.084 | 23.359 | 0.038 | 0.049 | 0.053 | 0.065 | 0.009  | 0.000     | 0.000       | 0.000           | 0.000      |
| 640   | 0   | 0     | 320  | 320 | 0   | POST   | /                  | 0.001 | 0.139 | 21.308 | 0.033 | 0.098 | 0.106 | 0.118 | 0.037  | 0.000     | 0.000       | 0.000           | 0.000      |
| 65206 | 0   | 65206 | 0    | 0   | 0   | GET    | /image/*           | 0.000 | 0.038 | 16.359 | 0.000 | 0.000 | 0.002 | 0.006 | 0.001  | 32329.000 | 1156332.000 | 23619513414.000 | 362229.142 |
| 357   | 0   | 0     | 357  | 0   | 0   | POST   | /comment           | 0.003 | 0.076 | 4.384  | 0.012 | 0.019 | 0.023 | 0.034 | 0.006  | 0.000     | 0.000       | 0.000           | 0.000      |
| 832   | 0   | 832   | 0    | 0   | 0   | GET    | /login             | 0.001 | 0.015 | 2.798  | 0.003 | 0.006 | 0.008 | 0.012 | 0.002  | 615.000   | 615.000     | 511680.000      | 615.000    |
| 621   | 0   | 0     | 0    | 621 | 0   | GET    | /admin/banned      | 0.001 | 0.022 | 2.503  | 0.004 | 0.007 | 0.009 | 0.015 | 0.003  | 0.000     | 0.000       | 0.000           | 0.000      |
| 416   | 0   | 0     | 416  | 0   | 0   | GET    | /logout            | 0.001 | 0.021 | 1.379  | 0.003 | 0.007 | 0.008 | 0.014 | 0.003  | 24.000    | 24.000      | 9984.000        | 24.000     |
| 1     | 0   | 1     | 0    | 0   | 0   | GET    | /initialize        | 0.031 | 0.031 | 0.031  | 0.031 | 0.031 | 0.031 | 0.031 | 0.000  | 0.000     | 0.000       | 0.000           | 0.000      |
| 5276  | 0   | 5276  | 0    | 0   | 0   | GET    | /favicon.ico       | 0.000 | 0.000 | 0.000  | 0.000 | 0.000 | 0.000 | 0.000 | 0.000  | 43.000    | 43.000      | 226868.000      | 43.000     |
| 5276  | 0   | 5276  | 0    | 0   | 0   | GET    | /js/timeago.min.js | 0.000 | 0.000 | 0.000  | 0.000 | 0.000 | 0.000 | 0.000 | 0.000  | 1915.000  | 1915.000    | 10103540.000    | 1915.000   |
| 5276  | 0   | 5276  | 0    | 0   | 0   | GET    | /js/main.js        | 0.000 | 0.000 | 0.000  | 0.000 | 0.000 | 0.000 | 0.000 | 0.000  | 1824.000  | 1824.000    | 9623424.000     | 1824.000   |
| 5276  | 0   | 5276  | 0    | 0   | 0   | GET    | /css/style.css     | 0.000 | 0.000 | 0.000  | 0.000 | 0.000 | 0.000 | 0.000 | 0.000  | 1549.000  | 1549.000    | 8172524.000     | 1549.000   |
+-------+-----+-------+------+-----+-----+--------+--------------------+-------+-------+--------+-------+-------+-------+-------+--------+-----------+-------------+-----------------+------------+
