+-------+-----+-------+------+-----+-----+--------+--------------------+-------+-------+--------+-------+-------+-------+-------+--------+-----------+-------------+-----------------+------------+
| COUNT | 1XX |  2XX  | 3XX  | 4XX | 5XX | METHOD |        URI         |  MIN  |  MAX  |  SUM   |  AVG  |  P90  |  P95  |  P99  | STDDEV | MIN(BODY) |  MAX(BODY)  |    SUM(BODY)    | AVG(BODY)  |
+-------+-----+-------+------+-----+-----+--------+--------------------+-------+-------+--------+-------+-------+-------+-------+--------+-----------+-------------+-----------------+------------+
| 720   | 0   | 720   | 0    | 0   | 0   | GET    | /posts             | 0.012 | 0.247 | 76.777 | 0.107 | 0.131 | 0.138 | 0.153 | 0.022  | 4944.000  | 5786.000    | 3841832.000     | 5335.878   |
| 2998  | 0   | 0     | 2998 | 0   | 0   | POST   | /login             | 0.001 | 0.047 | 67.802 | 0.023 | 0.033 | 0.035 | 0.041 | 0.009  | 0.000     | 0.000       | 0.000           | 0.000      |
| 3461  | 0   | 3461  | 0    | 0   | 0   | GET    | /posts/(\d+)       | 0.002 | 0.092 | 66.339 | 0.019 | 0.029 | 0.033 | 0.042 | 0.008  | 702.000   | 2043.000    | 4398879.000     | 1270.985   |
| 646   | 0   | 646   | 0    | 0   | 0   | GET    | /@                 | 0.024 | 0.336 | 55.555 | 0.086 | 0.119 | 0.129 | 0.169 | 0.030  | 1424.000  | 5529.000    | 2112599.000     | 3270.277   |
| 4631  | 0   | 4631  | 0    | 0   | 0   | GET    | /                  | 0.001 | 1.982 | 38.036 | 0.008 | 0.012 | 0.014 | 0.019 | 0.040  | 2491.000  | 2986.000    | 12670377.000    | 2735.992   |
| 666   | 0   | 0     | 333  | 333 | 0   | POST   | /                  | 0.001 | 0.192 | 23.219 | 0.035 | 0.102 | 0.113 | 0.141 | 0.040  | 0.000     | 0.000       | 0.000           | 0.000      |
| 662   | 0   | 0     | 662  | 0   | 0   | POST   | /register          | 0.013 | 0.113 | 22.691 | 0.034 | 0.043 | 0.047 | 0.065 | 0.009  | 0.000     | 0.000       | 0.000           | 0.000      |
| 65515 | 0   | 65515 | 0    | 0   | 0   | GET    | /image/*           | 0.000 | 0.254 | 15.641 | 0.000 | 0.000 | 0.002 | 0.005 | 0.002  | 37641.000 | 1197974.000 | 23871371354.000 | 364364.975 |
| 377   | 0   | 0     | 377  | 0   | 0   | POST   | /comment           | 0.005 | 0.079 | 4.844  | 0.013 | 0.018 | 0.022 | 0.040 | 0.007  | 0.000     | 0.000       | 0.000           | 0.000      |
| 862   | 0   | 862   | 0    | 0   | 0   | GET    | /login             | 0.001 | 0.016 | 2.763  | 0.003 | 0.006 | 0.008 | 0.010 | 0.002  | 615.000   | 615.000     | 530130.000      | 615.000    |
| 662   | 0   | 0     | 0    | 662 | 0   | GET    | /admin/banned      | 0.001 | 0.022 | 2.586  | 0.004 | 0.007 | 0.009 | 0.014 | 0.003  | 0.000     | 0.000       | 0.000           | 0.000      |
| 431   | 0   | 0     | 431  | 0   | 0   | GET    | /logout            | 0.002 | 0.015 | 1.363  | 0.003 | 0.006 | 0.007 | 0.011 | 0.002  | 24.000    | 24.000      | 10344.000       | 24.000     |
| 1     | 0   | 1     | 0    | 0   | 0   | GET    | /initialize        | 1.056 | 1.056 | 1.056  | 1.056 | 1.056 | 1.056 | 1.056 | 0.000  | 0.000     | 0.000       | 0.000           | 0.000      |
| 5284  | 0   | 5284  | 0    | 0   | 0   | GET    | /favicon.ico       | 0.000 | 0.000 | 0.000  | 0.000 | 0.000 | 0.000 | 0.000 | 0.000  | 43.000    | 43.000      | 227212.000      | 43.000     |
| 5284  | 0   | 5284  | 0    | 0   | 0   | GET    | /js/timeago.min.js | 0.000 | 0.000 | 0.000  | 0.000 | 0.000 | 0.000 | 0.000 | 0.000  | 1915.000  | 1915.000    | 10118860.000    | 1915.000   |
| 5284  | 0   | 5284  | 0    | 0   | 0   | GET    | /js/main.js        | 0.000 | 0.000 | 0.000  | 0.000 | 0.000 | 0.000 | 0.000 | 0.000  | 1824.000  | 1824.000    | 9638016.000     | 1824.000   |
| 5284  | 0   | 5284  | 0    | 0   | 0   | GET    | /css/style.css     | 0.000 | 0.000 | 0.000  | 0.000 | 0.000 | 0.000 | 0.000 | 0.000  | 1549.000  | 1549.000    | 8184916.000     | 1549.000   |
+-------+-----+-------+------+-----+-----+--------+--------------------+-------+-------+--------+-------+-------+-------+-------+--------+-----------+-------------+-----------------+------------+
