+-------+-----+-------+------+-----+-----+--------+--------------------+-------+-------+--------+-------+-------+-------+-------+--------+-----------+-------------+-----------------+------------+
| COUNT | 1XX |  2XX  | 3XX  | 4XX | 5XX | METHOD |        URI         |  MIN  |  MAX  |  SUM   |  AVG  |  P90  |  P95  |  P99  | STDDEV | MIN(BODY) |  MAX(BODY)  |    SUM(BODY)    | AVG(BODY)  |
+-------+-----+-------+------+-----+-----+--------+--------------------+-------+-------+--------+-------+-------+-------+-------+--------+-----------+-------------+-----------------+------------+
| 710   | 0   | 710   | 0    | 0   | 0   | GET    | /posts             | 0.010 | 0.237 | 74.959 | 0.106 | 0.133 | 0.140 | 0.164 | 0.025  | 4944.000  | 5881.000    | 3807715.000     | 5362.979   |
| 3542  | 0   | 3542  | 0    | 0   | 0   | GET    | /posts/(\d+)       | 0.002 | 0.274 | 69.296 | 0.020 | 0.030 | 0.035 | 0.045 | 0.010  | 694.000   | 1921.000    | 4516097.000     | 1275.013   |
| 2963  | 0   | 0     | 2963 | 0   | 0   | POST   | /login             | 0.001 | 0.047 | 66.517 | 0.022 | 0.033 | 0.035 | 0.040 | 0.009  | 0.000     | 0.000       | 0.000           | 0.000      |
| 650   | 0   | 650   | 0    | 0   | 0   | GET    | /@                 | 0.014 | 0.250 | 54.934 | 0.085 | 0.115 | 0.128 | 0.188 | 0.028  | 1336.000  | 5417.000    | 2116221.000     | 3255.725   |
| 4519  | 0   | 4519  | 0    | 0   | 0   | GET    | /                  | 0.001 | 0.674 | 35.462 | 0.008 | 0.012 | 0.014 | 0.020 | 0.018  | 2528.000  | 2922.000    | 12380175.000    | 2739.583   |
| 672   | 0   | 0     | 336  | 336 | 0   | POST   | /                  | 0.001 | 0.242 | 24.411 | 0.036 | 0.104 | 0.115 | 0.137 | 0.041  | 0.000     | 0.000       | 0.000           | 0.000      |
| 664   | 0   | 0     | 664  | 0   | 0   | POST   | /register          | 0.013 | 0.108 | 22.140 | 0.033 | 0.042 | 0.046 | 0.057 | 0.008  | 0.000     | 0.000       | 0.000           | 0.000      |
| 63188 | 0   | 63188 | 0    | 0   | 0   | GET    | /image/*           | 0.000 | 0.037 | 12.008 | 0.000 | 0.000 | 0.001 | 0.004 | 0.001  | 32329.000 | 1265181.000 | 23918681177.000 | 378532.018 |
| 370   | 0   | 0     | 370  | 0   | 0   | POST   | /comment           | 0.005 | 0.111 | 4.750  | 0.013 | 0.019 | 0.022 | 0.034 | 0.008  | 0.000     | 0.000       | 0.000           | 0.000      |
| 838   | 0   | 838   | 0    | 0   | 0   | GET    | /login             | 0.001 | 0.015 | 2.747  | 0.003 | 0.006 | 0.008 | 0.012 | 0.002  | 615.000   | 615.000     | 515370.000      | 615.000    |
| 664   | 0   | 0     | 0    | 664 | 0   | GET    | /admin/banned      | 0.001 | 0.018 | 2.642  | 0.004 | 0.008 | 0.010 | 0.013 | 0.003  | 0.000     | 0.000       | 0.000           | 0.000      |
| 419   | 0   | 0     | 419  | 0   | 0   | GET    | /logout            | 0.001 | 0.013 | 1.307  | 0.003 | 0.006 | 0.008 | 0.011 | 0.002  | 24.000    | 24.000      | 10056.000       | 24.000     |
| 1     | 0   | 1     | 0    | 0   | 0   | GET    | /initialize        | 1.022 | 1.022 | 1.022  | 1.022 | 1.022 | 1.022 | 1.022 | 0.000  | 0.000     | 0.000       | 0.000           | 0.000      |
| 5265  | 0   | 5265  | 0    | 0   | 0   | GET    | /favicon.ico       | 0.000 | 0.000 | 0.000  | 0.000 | 0.000 | 0.000 | 0.000 | 0.000  | 43.000    | 43.000      | 226395.000      | 43.000     |
| 5265  | 0   | 5265  | 0    | 0   | 0   | GET    | /js/timeago.min.js | 0.000 | 0.000 | 0.000  | 0.000 | 0.000 | 0.000 | 0.000 | 0.000  | 1915.000  | 1915.000    | 10082475.000    | 1915.000   |
| 5265  | 0   | 5265  | 0    | 0   | 0   | GET    | /js/main.js        | 0.000 | 0.000 | 0.000  | 0.000 | 0.000 | 0.000 | 0.000 | 0.000  | 1824.000  | 1824.000    | 9603360.000     | 1824.000   |
| 5265  | 0   | 5265  | 0    | 0   | 0   | GET    | /css/style.css     | 0.000 | 0.000 | 0.000  | 0.000 | 0.000 | 0.000 | 0.000 | 0.000  | 1549.000  | 1549.000    | 8155485.000     | 1549.000   |
+-------+-----+-------+------+-----+-----+--------+--------------------+-------+-------+--------+-------+-------+-------+-------+--------+-----------+-------------+-----------------+------------+
