+-------+-----+-------+------+-----+-----+--------+--------------------+-------+-------+--------+-------+-------+-------+-------+--------+-----------+-------------+-----------------+------------+
| COUNT | 1XX |  2XX  | 3XX  | 4XX | 5XX | METHOD |        URI         |  MIN  |  MAX  |  SUM   |  AVG  |  P90  |  P95  |  P99  | STDDEV | MIN(BODY) |  MAX(BODY)  |    SUM(BODY)    | AVG(BODY)  |
+-------+-----+-------+------+-----+-----+--------+--------------------+-------+-------+--------+-------+-------+-------+-------+--------+-----------+-------------+-----------------+------------+
| 3336  | 0   | 0     | 3336 | 0   | 0   | POST   | /login             | 0.001 | 0.054 | 75.767 | 0.023 | 0.033 | 0.036 | 0.042 | 0.009  | 0.000     | 0.000       | 0.000           | 0.000      |
| 730   | 0   | 730   | 0    | 0   | 0   | GET    | /posts             | 0.017 | 0.200 | 75.460 | 0.103 | 0.126 | 0.132 | 0.153 | 0.019  | 4917.000  | 5786.000    | 3905194.000     | 5349.581   |
| 3835  | 0   | 3835  | 0    | 0   | 0   | GET    | /posts/(\d+)       | 0.001 | 0.059 | 68.780 | 0.018 | 0.028 | 0.032 | 0.040 | 0.008  | 697.000   | 2109.000    | 4791321.000     | 1249.367   |
| 665   | 0   | 665   | 0    | 0   | 0   | GET    | /@                 | 0.013 | 0.183 | 55.426 | 0.083 | 0.113 | 0.124 | 0.142 | 0.024  | 1662.000  | 5379.000    | 2210588.000     | 3324.192   |
| 5030  | 0   | 5030  | 0    | 0   | 0   | GET    | /                  | 0.001 | 0.029 | 34.617 | 0.007 | 0.011 | 0.013 | 0.017 | 0.003  | 2506.000  | 3054.000    | 13748980.000    | 2733.396   |
| 708   | 0   | 0     | 708  | 0   | 0   | POST   | /register          | 0.011 | 0.101 | 22.268 | 0.031 | 0.040 | 0.044 | 0.053 | 0.007  | 0.000     | 0.000       | 0.000           | 0.000      |
| 66971 | 0   | 66971 | 0    | 0   | 0   | GET    | /image/*           | 0.000 | 0.260 | 12.209 | 0.000 | 0.000 | 0.001 | 0.004 | 0.001  | 31873.000 | 1265181.000 | 23796551624.000 | 355326.210 |
| 930   | 0   | 0     | 465  | 465 | 0   | POST   | /                  | 0.001 | 0.072 | 12.119 | 0.013 | 0.026 | 0.030 | 0.036 | 0.009  | 0.000     | 0.000       | 0.000           | 0.000      |
| 387   | 0   | 0     | 387  | 0   | 0   | POST   | /comment           | 0.005 | 0.045 | 4.210  | 0.011 | 0.015 | 0.018 | 0.030 | 0.005  | 0.000     | 0.000       | 0.000           | 0.000      |
| 708   | 0   | 0     | 0    | 708 | 0   | GET    | /admin/banned      | 0.001 | 0.019 | 2.661  | 0.004 | 0.007 | 0.009 | 0.013 | 0.003  | 0.000     | 0.000       | 0.000           | 0.000      |
| 874   | 0   | 874   | 0    | 0   | 0   | GET    | /login             | 0.001 | 0.013 | 2.618  | 0.003 | 0.005 | 0.007 | 0.010 | 0.002  | 615.000   | 615.000     | 537510.000      | 615.000    |
| 437   | 0   | 0     | 437  | 0   | 0   | GET    | /logout            | 0.000 | 0.016 | 1.322  | 0.003 | 0.006 | 0.007 | 0.011 | 0.002  | 24.000    | 24.000      | 10488.000       | 24.000     |
| 1     | 0   | 1     | 0    | 0   | 0   | GET    | /initialize        | 0.027 | 0.027 | 0.027  | 0.027 | 0.027 | 0.027 | 0.027 | 0.000  | 0.000     | 0.000       | 0.000           | 0.000      |
| 5558  | 0   | 5558  | 0    | 0   | 0   | GET    | /js/timeago.min.js | 0.000 | 0.000 | 0.000  | 0.000 | 0.000 | 0.000 | 0.000 | 0.000  | 1915.000  | 1915.000    | 10643570.000    | 1915.000   |
| 5558  | 0   | 5558  | 0    | 0   | 0   | GET    | /js/main.js        | 0.000 | 0.000 | 0.000  | 0.000 | 0.000 | 0.000 | 0.000 | 0.000  | 1824.000  | 1824.000    | 10137792.000    | 1824.000   |
| 5558  | 0   | 5558  | 0    | 0   | 0   | GET    | /css/style.css     | 0.000 | 0.000 | 0.000  | 0.000 | 0.000 | 0.000 | 0.000 | 0.000  | 1549.000  | 1549.000    | 8609342.000     | 1549.000   |
| 5558  | 0   | 5558  | 0    | 0   | 0   | GET    | /favicon.ico       | 0.000 | 0.000 | 0.000  | 0.000 | 0.000 | 0.000 | 0.000 | 0.000  | 43.000    | 43.000      | 238994.000      | 43.000     |
+-------+-----+-------+------+-----+-----+--------+--------------------+-------+-------+--------+-------+-------+-------+-------+--------+-----------+-------------+-----------------+------------+
