+-------+-----+-------+------+-----+-----+--------+--------------------+-------+-------+---------+-------+-------+-------+-------+--------+-----------+-------------+-----------------+------------+
| COUNT | 1XX |  2XX  | 3XX  | 4XX | 5XX | METHOD |        URI         |  MIN  |  MAX  |   SUM   |  AVG  |  P90  |  P95  |  P99  | STDDEV | MIN(BODY) |  MAX(BODY)  |    SUM(BODY)    | AVG(BODY)  |
+-------+-----+-------+------+-----+-----+--------+--------------------+-------+-------+---------+-------+-------+-------+-------+--------+-----------+-------------+-----------------+------------+
| 4919  | 0   | 4919  | 0    | 0   | 0   | GET    | /                  | 0.006 | 0.080 | 156.647 | 0.032 | 0.040 | 0.043 | 0.061 | 0.007  | 2530.000  | 6056.000    | 13986152.000    | 2843.292   |
| 970   | 0   | 970   | 0    | 0   | 0   | GET    | /posts             | 0.012 | 0.110 | 67.657  | 0.070 | 0.082 | 0.085 | 0.092 | 0.011  | 4936.000  | 5795.000    | 5197124.000     | 5357.860   |
| 5400  | 0   | 5400  | 0    | 0   | 0   | GET    | /posts/(\d+)       | 0.001 | 0.038 | 59.899  | 0.011 | 0.017 | 0.019 | 0.023 | 0.004  | 696.000   | 1963.000    | 6767412.000     | 1253.224   |
| 972   | 0   | 972   | 0    | 0   | 0   | GET    | /@                 | 0.011 | 0.101 | 49.268  | 0.051 | 0.068 | 0.073 | 0.085 | 0.013  | 1480.000  | 5588.000    | 3146402.000     | 3237.039   |
| 1016  | 0   | 0     | 508  | 508 | 0   | POST   | /                  | 0.001 | 0.059 | 10.872  | 0.011 | 0.021 | 0.024 | 0.030 | 0.008  | 0.000     | 0.000       | 0.000           | 0.000      |
| 69742 | 0   | 69742 | 0    | 0   | 0   | GET    | /image/*           | 0.000 | 0.269 | 10.670  | 0.000 | 0.000 | 0.001 | 0.003 | 0.002  | 32329.000 | 1265181.000 | 23811597679.000 | 341424.073 |
| 3578  | 0   | 0     | 3578 | 0   | 0   | POST   | /login             | 0.000 | 0.013 | 10.091  | 0.003 | 0.005 | 0.006 | 0.008 | 0.002  | 0.000     | 0.000       | 0.000           | 0.000      |
| 656   | 0   | 0     | 656  | 0   | 0   | POST   | /register          | 0.003 | 0.023 | 5.576   | 0.008 | 0.012 | 0.013 | 0.015 | 0.002  | 0.000     | 0.000       | 0.000           | 0.000      |
| 535   | 0   | 0     | 535  | 0   | 0   | POST   | /comment           | 0.004 | 0.033 | 4.725   | 0.009 | 0.012 | 0.013 | 0.016 | 0.003  | 0.000     | 0.000       | 0.000           | 0.000      |
| 914   | 0   | 914   | 0    | 0   | 0   | GET    | /login             | 0.000 | 0.010 | 1.929   | 0.002 | 0.003 | 0.004 | 0.005 | 0.001  | 615.000   | 615.000     | 562110.000      | 615.000    |
| 656   | 0   | 0     | 0    | 656 | 0   | GET    | /admin/banned      | 0.001 | 0.011 | 1.901   | 0.003 | 0.005 | 0.006 | 0.008 | 0.002  | 0.000     | 0.000       | 0.000           | 0.000      |
| 457   | 0   | 0     | 457  | 0   | 0   | GET    | /logout            | 0.001 | 0.011 | 0.947   | 0.002 | 0.004 | 0.005 | 0.006 | 0.001  | 24.000    | 24.000      | 10968.000       | 24.000     |
| 1     | 0   | 1     | 0    | 0   | 0   | GET    | /initialize        | 0.032 | 0.032 | 0.032   | 0.032 | 0.032 | 0.032 | 0.032 | 0.000  | 0.000     | 0.000       | 0.000           | 0.000      |
| 6850  | 0   | 6850  | 0    | 0   | 0   | GET    | /favicon.ico       | 0.000 | 0.000 | 0.000   | 0.000 | 0.000 | 0.000 | 0.000 | 0.000  | 43.000    | 43.000      | 294550.000      | 43.000     |
| 6850  | 0   | 6850  | 0    | 0   | 0   | GET    | /js/timeago.min.js | 0.000 | 0.000 | 0.000   | 0.000 | 0.000 | 0.000 | 0.000 | 0.000  | 1915.000  | 1915.000    | 13117750.000    | 1915.000   |
| 6850  | 0   | 6850  | 0    | 0   | 0   | GET    | /js/main.js        | 0.000 | 0.000 | 0.000   | 0.000 | 0.000 | 0.000 | 0.000 | 0.000  | 1824.000  | 1824.000    | 12494400.000    | 1824.000   |
| 6850  | 0   | 6850  | 0    | 0   | 0   | GET    | /css/style.css     | 0.000 | 0.000 | 0.000   | 0.000 | 0.000 | 0.000 | 0.000 | 0.000  | 1549.000  | 1549.000    | 10610650.000    | 1549.000   |
+-------+-----+-------+------+-----+-----+--------+--------------------+-------+-------+---------+-------+-------+-------+-------+--------+-----------+-------------+-----------------+------------+
