+-------+-----+-------+------+-----+-----+--------+--------------------+-------+-------+---------+-------+-------+-------+-------+--------+-----------+-------------+-----------------+------------+
| COUNT | 1XX |  2XX  | 3XX  | 4XX | 5XX | METHOD |        URI         |  MIN  |  MAX  |   SUM   |  AVG  |  P90  |  P95  |  P99  | STDDEV | MIN(BODY) |  MAX(BODY)  |    SUM(BODY)    | AVG(BODY)  |
+-------+-----+-------+------+-----+-----+--------+--------------------+-------+-------+---------+-------+-------+-------+-------+--------+-----------+-------------+-----------------+------------+
| 4726  | 0   | 4726  | 0    | 0   | 0   | GET    | /                  | 0.009 | 0.083 | 172.865 | 0.037 | 0.046 | 0.050 | 0.063 | 0.008  | 3033.000  | 6053.000    | 16269416.000    | 3442.534   |
| 980   | 0   | 980   | 0    | 0   | 0   | GET    | /posts             | 0.010 | 0.158 | 66.455  | 0.068 | 0.080 | 0.083 | 0.100 | 0.013  | 4944.000  | 5786.000    | 5237602.000     | 5344.492   |
| 6625  | 0   | 6625  | 0    | 0   | 0   | GET    | /posts/(\d+)       | 0.001 | 0.027 | 37.497  | 0.006 | 0.010 | 0.012 | 0.015 | 0.003  | 693.000   | 1804.000    | 5698443.000     | 860.142    |
| 842   | 0   | 842   | 0    | 0   | 0   | GET    | /@                 | 0.011 | 0.090 | 36.467  | 0.043 | 0.054 | 0.057 | 0.069 | 0.009  | 3009.000  | 5983.000    | 2827002.000     | 3357.485   |
| 71143 | 0   | 71143 | 0    | 0   | 0   | GET    | /image/*           | 0.000 | 0.059 | 12.171  | 0.000 | 0.000 | 0.001 | 0.004 | 0.001  | 39440.000 | 1155222.000 | 25634898034.000 | 360329.168 |
| 926   | 0   | 0     | 463  | 463 | 0   | POST   | /                  | 0.001 | 0.100 | 9.959   | 0.011 | 0.021 | 0.024 | 0.033 | 0.009  | 0.000     | 0.000       | 0.000           | 0.000      |
| 3439  | 0   | 0     | 3439 | 0   | 0   | POST   | /login             | 0.001 | 0.012 | 9.381   | 0.003 | 0.005 | 0.006 | 0.007 | 0.002  | 0.000     | 0.000       | 0.000           | 0.000      |
| 622   | 0   | 0     | 622  | 0   | 0   | POST   | /register          | 0.003 | 0.089 | 5.370   | 0.009 | 0.011 | 0.012 | 0.017 | 0.006  | 0.000     | 0.000       | 0.000           | 0.000      |
| 562   | 0   | 0     | 562  | 0   | 0   | POST   | /comment           | 0.003 | 0.070 | 4.998   | 0.009 | 0.012 | 0.013 | 0.017 | 0.004  | 0.000     | 0.000       | 0.000           | 0.000      |
| 886   | 0   | 886   | 0    | 0   | 0   | GET    | /login             | 0.001 | 0.009 | 1.864   | 0.002 | 0.004 | 0.004 | 0.006 | 0.001  | 615.000   | 615.000     | 544890.000      | 615.000    |
| 622   | 0   | 0     | 0    | 622 | 0   | GET    | /admin/banned      | 0.001 | 0.010 | 1.730   | 0.003 | 0.005 | 0.006 | 0.008 | 0.002  | 0.000     | 0.000       | 0.000           | 0.000      |
| 443   | 0   | 0     | 443  | 0   | 0   | GET    | /logout            | 0.001 | 0.006 | 0.813   | 0.002 | 0.003 | 0.004 | 0.005 | 0.001  | 24.000    | 24.000      | 10632.000       | 24.000     |
| 1     | 0   | 1     | 0    | 0   | 0   | GET    | /initialize        | 0.041 | 0.041 | 0.041   | 0.041 | 0.041 | 0.041 | 0.041 | 0.000  | 0.000     | 0.000       | 0.000           | 0.000      |
| 7874  | 0   | 7874  | 0    | 0   | 0   | GET    | /favicon.ico       | 0.000 | 0.000 | 0.000   | 0.000 | 0.000 | 0.000 | 0.000 | 0.000  | 43.000    | 43.000      | 338582.000      | 43.000     |
| 7874  | 0   | 7874  | 0    | 0   | 0   | GET    | /js/timeago.min.js | 0.000 | 0.000 | 0.000   | 0.000 | 0.000 | 0.000 | 0.000 | 0.000  | 1915.000  | 1915.000    | 15078710.000    | 1915.000   |
| 7874  | 0   | 7874  | 0    | 0   | 0   | GET    | /js/main.js        | 0.000 | 0.000 | 0.000   | 0.000 | 0.000 | 0.000 | 0.000 | 0.000  | 1824.000  | 1824.000    | 14362176.000    | 1824.000   |
| 7874  | 0   | 7874  | 0    | 0   | 0   | GET    | /css/style.css     | 0.000 | 0.000 | 0.000   | 0.000 | 0.000 | 0.000 | 0.000 | 0.000  | 1549.000  | 1549.000    | 12196826.000    | 1549.000   |
+-------+-----+-------+------+-----+-----+--------+--------------------+-------+-------+---------+-------+-------+-------+-------+--------+-----------+-------------+-----------------+------------+
