+-------+-----+-------+------+------+-----+--------+--------------------+-------+-------+--------+-------+-------+-------+-------+--------+-----------+-------------+-----------------+------------+
| COUNT | 1XX |  2XX  | 3XX  | 4XX  | 5XX | METHOD |        URI         |  MIN  |  MAX  |  SUM   |  AVG  |  P90  |  P95  |  P99  | STDDEV | MIN(BODY) |  MAX(BODY)  |    SUM(BODY)    | AVG(BODY)  |
+-------+-----+-------+------+------+-----+--------+--------------------+-------+-------+--------+-------+-------+-------+-------+--------+-----------+-------------+-----------------+------------+
| 7515  | 0   | 7515  | 0    | 0    | 0   | GET    | /                  | 0.002 | 0.048 | 80.962 | 0.011 | 0.017 | 0.019 | 0.023 | 0.005  | 2484.000  | 11634.000   | 20467435.000    | 2723.544   |
| 1250  | 0   | 1250  | 0    | 0    | 0   | GET    | /posts             | 0.003 | 0.259 | 35.467 | 0.028 | 0.092 | 0.131 | 0.201 | 0.042  | 2137.000  | 12525.000   | 4143263.000     | 3314.610   |
| 7746  | 0   | 7746  | 0    | 0    | 0   | GET    | /posts/(\d+)       | 0.000 | 0.019 | 24.978 | 0.003 | 0.006 | 0.007 | 0.009 | 0.002  | 692.000   | 1804.000    | 5853421.000     | 755.670    |
| 1457  | 0   | 1457  | 0    | 0    | 0   | GET    | /@                 | 0.005 | 0.038 | 23.317 | 0.016 | 0.023 | 0.026 | 0.031 | 0.006  | 2427.000  | 2837.000    | 3845144.000     | 2639.083   |
| 80338 | 0   | 80338 | 0    | 0    | 0   | GET    | /image/*           | 0.000 | 0.261 | 21.711 | 0.000 | 0.000 | 0.002 | 0.005 | 0.002  | 39440.000 | 1155222.000 | 29461742947.000 | 366722.385 |
| 1596  | 0   | 0     | 798  | 798  | 0   | POST   | /                  | 0.001 | 0.059 | 14.262 | 0.009 | 0.018 | 0.021 | 0.025 | 0.007  | 0.000     | 0.000       | 0.000           | 0.000      |
| 5436  | 0   | 0     | 5436 | 0    | 0   | POST   | /login             | 0.002 | 0.014 | 10.508 | 0.002 | 0.004 | 0.005 | 0.006 | 0.001  | 0.000     | 0.000       | 0.000           | 0.000      |
| 1301  | 0   | 0     | 1301 | 0    | 0   | POST   | /register          | 0.003 | 0.037 | 10.429 | 0.008 | 0.011 | 0.012 | 0.015 | 0.003  | 0.000     | 0.000       | 0.000           | 0.000      |
| 1168  | 0   | 0     | 1168 | 0    | 0   | POST   | /comment           | 0.003 | 0.038 | 9.326  | 0.008 | 0.011 | 0.012 | 0.015 | 0.003  | 0.000     | 0.000       | 0.000           | 0.000      |
| 1301  | 0   | 0     | 0    | 1301 | 0   | GET    | /admin/banned      | 0.001 | 0.011 | 2.489  | 0.002 | 0.004 | 0.005 | 0.006 | 0.001  | 0.000     | 0.000       | 0.000           | 0.000      |
| 914   | 0   | 914   | 0    | 0    | 0   | GET    | /login             | 0.001 | 0.008 | 1.628  | 0.002 | 0.003 | 0.004 | 0.005 | 0.001  | 615.000   | 615.000     | 562110.000      | 615.000    |
| 457   | 0   | 0     | 457  | 0    | 0   | GET    | /logout            | 0.001 | 0.008 | 0.719  | 0.002 | 0.003 | 0.003 | 0.005 | 0.001  | 24.000    | 24.000      | 10968.000       | 24.000     |
| 1     | 0   | 1     | 0    | 0    | 0   | GET    | /initialize        | 0.044 | 0.044 | 0.044  | 0.044 | 0.044 | 0.044 | 0.044 | 0.000  | 0.000     | 0.000       | 0.000           | 0.000      |
| 8218  | 0   | 8218  | 0    | 0    | 0   | GET    | /js/timeago.min.js | 0.000 | 0.000 | 0.000  | 0.000 | 0.000 | 0.000 | 0.000 | 0.000  | 1915.000  | 1915.000    | 15737470.000    | 1915.000   |
| 8218  | 0   | 8218  | 0    | 0    | 0   | GET    | /js/main.js        | 0.000 | 0.000 | 0.000  | 0.000 | 0.000 | 0.000 | 0.000 | 0.000  | 1824.000  | 1824.000    | 14989632.000    | 1824.000   |
| 8218  | 0   | 8218  | 0    | 0    | 0   | GET    | /css/style.css     | 0.000 | 0.000 | 0.000  | 0.000 | 0.000 | 0.000 | 0.000 | 0.000  | 1549.000  | 1549.000    | 12729682.000    | 1549.000   |
| 8218  | 0   | 8218  | 0    | 0    | 0   | GET    | /favicon.ico       | 0.000 | 0.000 | 0.000  | 0.000 | 0.000 | 0.000 | 0.000 | 0.000  | 43.000    | 43.000      | 353374.000      | 43.000     |
+-------+-----+-------+------+------+-----+--------+--------------------+-------+-------+--------+-------+-------+-------+-------+--------+-----------+-------------+-----------------+------------+
