+-------+-----+-------+------+------+-----+--------+--------------------+-------+-------+--------+-------+-------+-------+-------+--------+-----------+-------------+-----------------+------------+
| COUNT | 1XX |  2XX  | 3XX  | 4XX  | 5XX | METHOD |        URI         |  MIN  |  MAX  |  SUM   |  AVG  |  P90  |  P95  |  P99  | STDDEV | MIN(BODY) |  MAX(BODY)  |    SUM(BODY)    | AVG(BODY)  |
+-------+-----+-------+------+------+-----+--------+--------------------+-------+-------+--------+-------+-------+-------+-------+--------+-----------+-------------+-----------------+------------+
| 8084  | 0   | 8084  | 0    | 0    | 0   | GET    | /                  | 0.002 | 0.131 | 87.957 | 0.011 | 0.017 | 0.019 | 0.024 | 0.005  | 2379.000  | 11644.000   | 21894483.000    | 2708.372   |
| 1290  | 0   | 1290  | 0    | 0    | 0   | GET    | /posts             | 0.002 | 0.266 | 36.363 | 0.028 | 0.093 | 0.128 | 0.184 | 0.041  | 2137.000  | 12273.000   | 4223830.000     | 3274.287   |
| 1653  | 0   | 1653  | 0    | 0    | 0   | GET    | /@                 | 0.005 | 0.067 | 25.850 | 0.016 | 0.023 | 0.025 | 0.031 | 0.006  | 2308.000  | 2781.000    | 4333801.000     | 2621.779   |
| 7938  | 0   | 7938  | 0    | 0    | 0   | GET    | /posts/(\d+)       | 0.000 | 0.019 | 25.278 | 0.003 | 0.006 | 0.007 | 0.010 | 0.002  | 683.000   | 1804.000    | 5982528.000     | 753.657    |
| 80673 | 0   | 80673 | 0    | 0    | 0   | GET    | /image/*           | 0.000 | 0.220 | 23.846 | 0.000 | 0.000 | 0.002 | 0.006 | 0.002  | 39440.000 | 1155222.000 | 29987869436.000 | 371721.263 |
| 5821  | 0   | 0     | 5821 | 0    | 0   | POST   | /login             | 0.000 | 0.011 | 11.133 | 0.002 | 0.004 | 0.005 | 0.006 | 0.001  | 0.000     | 0.000       | 0.000           | 0.000      |
| 1626  | 0   | 0     | 813  | 813  | 0   | POST   | /                  | 0.001 | 0.050 | 10.671 | 0.007 | 0.013 | 0.016 | 0.020 | 0.005  | 0.000     | 0.000       | 0.000           | 0.000      |
| 1483  | 0   | 0     | 1483 | 0    | 0   | POST   | /register          | 0.001 | 0.011 | 3.898  | 0.003 | 0.005 | 0.006 | 0.008 | 0.002  | 0.000     | 0.000       | 0.000           | 0.000      |
| 1365  | 0   | 0     | 1365 | 0    | 0   | POST   | /comment           | 0.001 | 0.011 | 3.372  | 0.002 | 0.004 | 0.005 | 0.007 | 0.002  | 0.000     | 0.000       | 0.000           | 0.000      |
| 1483  | 0   | 0     | 0    | 1483 | 0   | GET    | /admin/banned      | 0.001 | 0.013 | 2.951  | 0.002 | 0.004 | 0.005 | 0.007 | 0.002  | 0.000     | 0.000       | 0.000           | 0.000      |
| 898   | 0   | 898   | 0    | 0    | 0   | GET    | /login             | 0.000 | 0.010 | 1.656  | 0.002 | 0.003 | 0.004 | 0.006 | 0.001  | 615.000   | 615.000     | 552270.000      | 615.000    |
| 449   | 0   | 0     | 449  | 0    | 0   | GET    | /logout            | 0.001 | 0.010 | 0.739  | 0.002 | 0.003 | 0.004 | 0.005 | 0.001  | 24.000    | 24.000      | 10776.000       | 24.000     |
| 1     | 0   | 1     | 0    | 0    | 0   | GET    | /initialize        | 0.053 | 0.053 | 0.053  | 0.053 | 0.053 | 0.053 | 0.053 | 0.000  | 0.000     | 0.000       | 0.000           | 0.000      |
| 8175  | 0   | 8175  | 0    | 0    | 0   | GET    | /js/timeago.min.js | 0.000 | 0.000 | 0.000  | 0.000 | 0.000 | 0.000 | 0.000 | 0.000  | 1915.000  | 1915.000    | 15655125.000    | 1915.000   |
| 8175  | 0   | 8175  | 0    | 0    | 0   | GET    | /js/main.js        | 0.000 | 0.000 | 0.000  | 0.000 | 0.000 | 0.000 | 0.000 | 0.000  | 1824.000  | 1824.000    | 14911200.000    | 1824.000   |
| 8175  | 0   | 8175  | 0    | 0    | 0   | GET    | /css/style.css     | 0.000 | 0.000 | 0.000  | 0.000 | 0.000 | 0.000 | 0.000 | 0.000  | 1549.000  | 1549.000    | 12663075.000    | 1549.000   |
| 8175  | 0   | 8175  | 0    | 0    | 0   | GET    | /favicon.ico       | 0.000 | 0.000 | 0.000  | 0.000 | 0.000 | 0.000 | 0.000 | 0.000  | 43.000    | 43.000      | 351525.000      | 43.000     |
+-------+-----+-------+------+------+-----+--------+--------------------+-------+-------+--------+-------+-------+-------+-------+--------+-----------+-------------+-----------------+------------+
