+-------+-----+-------+------+-----+-----+--------+--------------------+-------+-------+---------+-------+-------+-------+-------+--------+-----------+-------------+-----------------+------------+
| COUNT | 1XX |  2XX  | 3XX  | 4XX | 5XX | METHOD |        URI         |  MIN  |  MAX  |   SUM   |  AVG  |  P90  |  P95  |  P99  | STDDEV | MIN(BODY) |  MAX(BODY)  |    SUM(BODY)    | AVG(BODY)  |
+-------+-----+-------+------+-----+-----+--------+--------------------+-------+-------+---------+-------+-------+-------+-------+--------+-----------+-------------+-----------------+------------+
| 2491  | 0   | 2491  | 0    | 0   | 0   | GET    | /                  | 0.021 | 0.165 | 273.867 | 0.110 | 0.132 | 0.137 | 0.148 | 0.018  | 2545.000  | 11643.000   | 6831003.000     | 2742.273   |
| 980   | 0   | 980   | 0    | 0   | 0   | GET    | /posts             | 0.004 | 0.335 | 58.028  | 0.059 | 0.161 | 0.205 | 0.261 | 0.064  | 2137.000  | 11038.000   | 3614615.000     | 3688.383   |
| 490   | 0   | 490   | 0    | 0   | 0   | GET    | /@                 | 0.023 | 0.164 | 57.225  | 0.117 | 0.139 | 0.143 | 0.155 | 0.018  | 2481.000  | 3179.000    | 1306626.000     | 2666.584   |
| 5317  | 0   | 5317  | 0    | 0   | 0   | GET    | /posts/(\d+)       | 0.001 | 0.025 | 28.597  | 0.005 | 0.010 | 0.012 | 0.017 | 0.003  | 692.000   | 1804.000    | 3976332.000     | 747.853    |
| 55810 | 0   | 55810 | 0    | 0   | 0   | GET    | /image/*           | 0.000 | 0.046 | 7.531   | 0.000 | 0.000 | 0.001 | 0.004 | 0.001  | 39440.000 | 1155222.000 | 18999663064.000 | 340434.744 |
| 1801  | 0   | 0     | 1801 | 0   | 0   | POST   | /login             | 0.001 | 0.018 | 6.335   | 0.004 | 0.007 | 0.008 | 0.012 | 0.003  | 0.000     | 0.000       | 0.000           | 0.000      |
| 420   | 0   | 0     | 210  | 210 | 0   | POST   | /                  | 0.001 | 0.053 | 5.077   | 0.012 | 0.026 | 0.030 | 0.036 | 0.009  | 0.000     | 0.000       | 0.000           | 0.000      |
| 586   | 0   | 586   | 0    | 0   | 0   | GET    | /login             | 0.001 | 0.015 | 1.675   | 0.003 | 0.006 | 0.007 | 0.010 | 0.002  | 615.000   | 615.000     | 360390.000      | 615.000    |
| 247   | 0   | 0     | 247  | 0   | 0   | POST   | /comment           | 0.001 | 0.018 | 1.227   | 0.005 | 0.009 | 0.010 | 0.012 | 0.003  | 0.000     | 0.000       | 0.000           | 0.000      |
| 255   | 0   | 0     | 255  | 0   | 0   | POST   | /register          | 0.001 | 0.015 | 1.099   | 0.004 | 0.008 | 0.010 | 0.013 | 0.003  | 0.000     | 0.000       | 0.000           | 0.000      |
| 255   | 0   | 0     | 0    | 255 | 0   | GET    | /admin/banned      | 0.001 | 0.015 | 0.878   | 0.003 | 0.008 | 0.009 | 0.013 | 0.003  | 0.000     | 0.000       | 0.000           | 0.000      |
| 293   | 0   | 0     | 293  | 0   | 0   | GET    | /logout            | 0.000 | 0.011 | 0.788   | 0.003 | 0.005 | 0.006 | 0.009 | 0.002  | 24.000    | 24.000      | 7032.000        | 24.000     |
| 1     | 0   | 1     | 0    | 0   | 0   | GET    | /initialize        | 0.084 | 0.084 | 0.084   | 0.084 | 0.084 | 0.084 | 0.084 | 0.000  | 0.000     | 0.000       | 0.000           | 0.000      |
| 6417  | 0   | 6417  | 0    | 0   | 0   | GET    | /favicon.ico       | 0.000 | 0.000 | 0.000   | 0.000 | 0.000 | 0.000 | 0.000 | 0.000  | 43.000    | 43.000      | 275931.000      | 43.000     |
| 6417  | 0   | 6417  | 0    | 0   | 0   | GET    | /js/timeago.min.js | 0.000 | 0.000 | 0.000   | 0.000 | 0.000 | 0.000 | 0.000 | 0.000  | 1915.000  | 1915.000    | 12288555.000    | 1915.000   |
| 6417  | 0   | 6417  | 0    | 0   | 0   | GET    | /js/main.js        | 0.000 | 0.000 | 0.000   | 0.000 | 0.000 | 0.000 | 0.000 | 0.000  | 1824.000  | 1824.000    | 11704608.000    | 1824.000   |
| 6417  | 0   | 6417  | 0    | 0   | 0   | GET    | /css/style.css     | 0.000 | 0.000 | 0.000   | 0.000 | 0.000 | 0.000 | 0.000 | 0.000  | 1549.000  | 1549.000    | 9939933.000     | 1549.000   |
+-------+-----+-------+------+-----+-----+--------+--------------------+-------+-------+---------+-------+-------+-------+-------+--------+-----------+-------------+-----------------+------------+
