+-------+-----+-------+------+------+-----+--------+--------------------+-------+-------+--------+-------+-------+-------+-------+--------+-----------+-------------+-----------------+------------+
| COUNT | 1XX |  2XX  | 3XX  | 4XX  | 5XX | METHOD |        URI         |  MIN  |  MAX  |  SUM   |  AVG  |  P90  |  P95  |  P99  | STDDEV | MIN(BODY) |  MAX(BODY)  |    SUM(BODY)    | AVG(BODY)  |
+-------+-----+-------+------+------+-----+--------+--------------------+-------+-------+--------+-------+-------+-------+-------+--------+-----------+-------------+-----------------+------------+
| 6700  | 0   | 6700  | 0    | 0    | 0   | GET    | /                  | 0.002 | 0.043 | 90.632 | 0.014 | 0.021 | 0.024 | 0.029 | 0.006  | 2516.000  | 11638.000   | 18349162.000    | 2738.681   |
| 911   | 0   | 911   | 0    | 0    | 0   | GET    | /@                 | 0.024 | 0.121 | 56.232 | 0.062 | 0.082 | 0.088 | 0.101 | 0.015  | 2491.000  | 2839.000    | 2421015.000     | 2657.536   |
| 1090  | 0   | 1090  | 0    | 0    | 0   | GET    | /posts             | 0.002 | 0.326 | 41.624 | 0.038 | 0.118 | 0.151 | 0.214 | 0.048  | 2137.000  | 12525.000   | 3793782.000     | 3480.534   |
| 6153  | 0   | 6153  | 0    | 0    | 0   | GET    | /posts/(\d+)       | 0.001 | 0.020 | 22.987 | 0.004 | 0.007 | 0.008 | 0.011 | 0.002  | 691.000   | 1804.000    | 4640488.000     | 754.183    |
| 71620 | 0   | 71620 | 0    | 0    | 0   | GET    | /image/*           | 0.000 | 0.051 | 22.131 | 0.000 | 0.000 | 0.002 | 0.006 | 0.001  | 39440.000 | 1089626.000 | 27221316965.000 | 380079.824 |
| 1440  | 0   | 0     | 720  | 720  | 0   | POST   | /                  | 0.001 | 0.062 | 10.968 | 0.008 | 0.016 | 0.019 | 0.024 | 0.006  | 0.000     | 0.000       | 0.000           | 0.000      |
| 4707  | 0   | 0     | 4707 | 0    | 0   | POST   | /login             | 0.001 | 0.016 | 10.341 | 0.002 | 0.004 | 0.005 | 0.008 | 0.002  | 0.000     | 0.000       | 0.000           | 0.000      |
| 1304  | 0   | 0     | 1304 | 0    | 0   | POST   | /register          | 0.001 | 0.014 | 3.877  | 0.003 | 0.005 | 0.007 | 0.009 | 0.002  | 0.000     | 0.000       | 0.000           | 0.000      |
| 1304  | 0   | 0     | 0    | 1304 | 0   | GET    | /admin/banned      | 0.001 | 0.012 | 2.900  | 0.002 | 0.004 | 0.005 | 0.008 | 0.002  | 0.000     | 0.000       | 0.000           | 0.000      |
| 673   | 0   | 0     | 673  | 0    | 0   | POST   | /comment           | 0.001 | 0.015 | 1.827  | 0.003 | 0.005 | 0.006 | 0.008 | 0.002  | 0.000     | 0.000       | 0.000           | 0.000      |
| 860   | 0   | 860   | 0    | 0    | 0   | GET    | /login             | 0.000 | 0.011 | 1.769  | 0.002 | 0.004 | 0.005 | 0.007 | 0.001  | 615.000   | 615.000     | 528900.000      | 615.000    |
| 430   | 0   | 0     | 430  | 0    | 0   | GET    | /logout            | 0.001 | 0.008 | 0.841  | 0.002 | 0.004 | 0.005 | 0.007 | 0.001  | 24.000    | 24.000      | 10320.000       | 24.000     |
| 1     | 0   | 1     | 0    | 0    | 0   | GET    | /initialize        | 0.012 | 0.012 | 0.012  | 0.012 | 0.012 | 0.012 | 0.012 | 0.000  | 0.000     | 0.000       | 0.000           | 0.000      |
| 6977  | 0   | 6977  | 0    | 0    | 0   | GET    | /js/timeago.min.js | 0.000 | 0.000 | 0.000  | 0.000 | 0.000 | 0.000 | 0.000 | 0.000  | 1915.000  | 1915.000    | 13360955.000    | 1915.000   |
| 6977  | 0   | 6977  | 0    | 0    | 0   | GET    | /js/main.js        | 0.000 | 0.000 | 0.000  | 0.000 | 0.000 | 0.000 | 0.000 | 0.000  | 1824.000  | 1824.000    | 12726048.000    | 1824.000   |
| 6977  | 0   | 6977  | 0    | 0    | 0   | GET    | /css/style.css     | 0.000 | 0.000 | 0.000  | 0.000 | 0.000 | 0.000 | 0.000 | 0.000  | 1549.000  | 1549.000    | 10807373.000    | 1549.000   |
| 6977  | 0   | 6977  | 0    | 0    | 0   | GET    | /favicon.ico       | 0.000 | 0.000 | 0.000  | 0.000 | 0.000 | 0.000 | 0.000 | 0.000  | 43.000    | 43.000      | 300011.000      | 43.000     |
+-------+-----+-------+------+------+-----+--------+--------------------+-------+-------+--------+-------+-------+-------+-------+--------+-----------+-------------+-----------------+------------+
