+-------+-----+-------+------+------+-----+--------+--------------------+-------+-------+---------+-------+-------+-------+-------+--------+-----------+-------------+-----------------+------------+
| COUNT | 1XX |  2XX  | 3XX  | 4XX  | 5XX | METHOD |        URI         |  MIN  |  MAX  |   SUM   |  AVG  |  P90  |  P95  |  P99  | STDDEV | MIN(BODY) |  MAX(BODY)  |    SUM(BODY)    | AVG(BODY)  |
+-------+-----+-------+------+------+-----+--------+--------------------+-------+-------+---------+-------+-------+-------+-------+--------+-----------+-------------+-----------------+------------+
| 7591  | 0   | 7591  | 0    | 0    | 0   | GET    | /                  | 0.002 | 0.048 | 102.371 | 0.013 | 0.021 | 0.024 | 0.032 | 0.006  | 2468.000  | 11647.000   | 20697773.000    | 2726.620   |
| 1170  | 0   | 1170  | 0    | 0    | 0   | GET    | /posts             | 0.002 | 0.297 | 43.650  | 0.037 | 0.122 | 0.167 | 0.236 | 0.053  | 2137.000  | 12457.000   | 3980170.000     | 3401.855   |
| 8175  | 0   | 8175  | 0    | 0    | 0   | GET    | /posts/(\d+)       | 0.001 | 0.022 | 29.040  | 0.004 | 0.006 | 0.008 | 0.011 | 0.002  | 686.000   | 1804.000    | 6169942.000     | 754.733    |
| 1551  | 0   | 1551  | 0    | 0    | 0   | GET    | /@                 | 0.004 | 0.053 | 25.127  | 0.016 | 0.024 | 0.028 | 0.035 | 0.006  | 2441.000  | 2822.000    | 4095096.000     | 2640.294   |
| 80892 | 0   | 80892 | 0    | 0    | 0   | GET    | /image/*           | 0.000 | 0.272 | 23.466  | 0.000 | 0.000 | 0.002 | 0.006 | 0.002  | 39440.000 | 1155222.000 | 28711219772.000 | 354932.747 |
| 5531  | 0   | 0     | 5531 | 0    | 0   | POST   | /login             | 0.000 | 0.019 | 11.701  | 0.002 | 0.004 | 0.005 | 0.008 | 0.002  | 0.000     | 0.000       | 0.000           | 0.000      |
| 1544  | 0   | 0     | 772  | 772  | 0   | POST   | /                  | 0.001 | 0.056 | 10.521  | 0.007 | 0.014 | 0.017 | 0.026 | 0.006  | 0.000     | 0.000       | 0.000           | 0.000      |
| 1292  | 0   | 0     | 1292 | 0    | 0   | POST   | /register          | 0.001 | 0.013 | 3.771   | 0.003 | 0.005 | 0.006 | 0.009 | 0.002  | 0.000     | 0.000       | 0.000           | 0.000      |
| 1243  | 0   | 0     | 1243 | 0    | 0   | POST   | /comment           | 0.001 | 0.015 | 3.610   | 0.003 | 0.005 | 0.006 | 0.010 | 0.002  | 0.000     | 0.000       | 0.000           | 0.000      |
| 1292  | 0   | 0     | 0    | 1292 | 0   | GET    | /admin/banned      | 0.001 | 0.013 | 2.727   | 0.002 | 0.004 | 0.005 | 0.007 | 0.002  | 0.000     | 0.000       | 0.000           | 0.000      |
| 968   | 0   | 968   | 0    | 0    | 0   | GET    | /login             | 0.001 | 0.011 | 1.932   | 0.002 | 0.004 | 0.004 | 0.006 | 0.001  | 615.000   | 615.000     | 595320.000      | 615.000    |
| 484   | 0   | 0     | 484  | 0    | 0   | GET    | /logout            | 0.001 | 0.008 | 0.846   | 0.002 | 0.003 | 0.004 | 0.006 | 0.001  | 24.000    | 24.000      | 11616.000       | 24.000     |
| 1     | 0   | 1     | 0    | 0    | 0   | GET    | /initialize        | 0.033 | 0.033 | 0.033   | 0.033 | 0.033 | 0.033 | 0.033 | 0.000  | 0.000     | 0.000       | 0.000           | 0.000      |
| 8688  | 0   | 8688  | 0    | 0    | 0   | GET    | /js/timeago.min.js | 0.000 | 0.000 | 0.000   | 0.000 | 0.000 | 0.000 | 0.000 | 0.000  | 1915.000  | 1915.000    | 16637520.000    | 1915.000   |
| 8688  | 0   | 8688  | 0    | 0    | 0   | GET    | /js/main.js        | 0.000 | 0.000 | 0.000   | 0.000 | 0.000 | 0.000 | 0.000 | 0.000  | 1824.000  | 1824.000    | 15846912.000    | 1824.000   |
| 8688  | 0   | 8688  | 0    | 0    | 0   | GET    | /css/style.css     | 0.000 | 0.000 | 0.000   | 0.000 | 0.000 | 0.000 | 0.000 | 0.000  | 1549.000  | 1549.000    | 13457712.000    | 1549.000   |
| 8688  | 0   | 8688  | 0    | 0    | 0   | GET    | /favicon.ico       | 0.000 | 0.000 | 0.000   | 0.000 | 0.000 | 0.000 | 0.000 | 0.000  | 43.000    | 43.000      | 373584.000      | 43.000     |
+-------+-----+-------+------+------+-----+--------+--------------------+-------+-------+---------+-------+-------+-------+-------+--------+-----------+-------------+-----------------+------------+
