+-------+-----+-------+------+------+-----+--------+--------------------+-------+-------+--------+-------+-------+-------+-------+--------+-----------+-------------+-----------------+------------+
| COUNT | 1XX |  2XX  | 3XX  | 4XX  | 5XX | METHOD |        URI         |  MIN  |  MAX  |  SUM   |  AVG  |  P90  |  P95  |  P99  | STDDEV | MIN(BODY) |  MAX(BODY)  |    SUM(BODY)    | AVG(BODY)  |
+-------+-----+-------+------+------+-----+--------+--------------------+-------+-------+--------+-------+-------+-------+-------+--------+-----------+-------------+-----------------+------------+
| 8040  | 0   | 8040  | 0    | 0    | 0   | GET    | /                  | 0.002 | 0.096 | 99.777 | 0.012 | 0.018 | 0.020 | 0.024 | 0.004  | 2477.000  | 6047.000    | 21837767.000    | 2716.140   |
| 1310  | 0   | 1310  | 0    | 0    | 0   | GET    | /posts             | 0.003 | 0.169 | 32.698 | 0.025 | 0.077 | 0.099 | 0.133 | 0.030  | 2137.000  | 5584.000    | 3476066.000     | 2653.485   |
| 8421  | 0   | 8421  | 0    | 0    | 0   | GET    | /posts/(\d+)       | 0.001 | 0.031 | 27.594 | 0.003 | 0.006 | 0.007 | 0.009 | 0.002  | 692.000   | 1804.000    | 6362789.000     | 755.586    |
| 1684  | 0   | 1684  | 0    | 0    | 0   | GET    | /@                 | 0.004 | 0.037 | 25.114 | 0.015 | 0.022 | 0.024 | 0.029 | 0.005  | 2431.000  | 2830.000    | 4434382.000     | 2633.243   |
| 83047 | 0   | 83047 | 0    | 0    | 0   | GET    | /image/*           | 0.000 | 0.055 | 23.692 | 0.000 | 0.000 | 0.002 | 0.006 | 0.001  | 39440.000 | 1155222.000 | 29623923623.000 | 356712.748 |
| 5850  | 0   | 0     | 5850 | 0    | 0   | POST   | /login             | 0.000 | 0.014 | 11.099 | 0.002 | 0.004 | 0.004 | 0.006 | 0.001  | 0.000     | 0.000       | 0.000           | 0.000      |
| 1694  | 0   | 0     | 847  | 847  | 0   | POST   | /                  | 0.001 | 0.049 | 10.624 | 0.006 | 0.013 | 0.015 | 0.019 | 0.005  | 0.000     | 0.000       | 0.000           | 0.000      |
| 1396  | 0   | 0     | 1396 | 0    | 0   | POST   | /register          | 0.001 | 0.011 | 3.613  | 0.003 | 0.004 | 0.005 | 0.007 | 0.001  | 0.000     | 0.000       | 0.000           | 0.000      |
| 1374  | 0   | 0     | 1374 | 0    | 0   | POST   | /comment           | 0.001 | 0.010 | 3.557  | 0.003 | 0.004 | 0.005 | 0.008 | 0.001  | 0.000     | 0.000       | 0.000           | 0.000      |
| 1396  | 0   | 0     | 0    | 1396 | 0   | GET    | /admin/banned      | 0.001 | 0.011 | 2.749  | 0.002 | 0.004 | 0.005 | 0.006 | 0.001  | 0.000     | 0.000       | 0.000           | 0.000      |
| 924   | 0   | 924   | 0    | 0    | 0   | GET    | /login             | 0.001 | 0.008 | 1.662  | 0.002 | 0.003 | 0.004 | 0.006 | 0.001  | 615.000   | 615.000     | 568260.000      | 615.000    |
| 462   | 0   | 0     | 462  | 0    | 0   | GET    | /logout            | 0.001 | 0.008 | 0.779  | 0.002 | 0.003 | 0.004 | 0.005 | 0.001  | 24.000    | 24.000      | 11088.000       | 24.000     |
| 1     | 0   | 1     | 0    | 0    | 0   | GET    | /initialize        | 0.052 | 0.052 | 0.052  | 0.052 | 0.052 | 0.052 | 0.052 | 0.000  | 0.000     | 0.000       | 0.000           | 0.000      |
| 8690  | 0   | 8690  | 0    | 0    | 0   | GET    | /js/timeago.min.js | 0.000 | 0.000 | 0.000  | 0.000 | 0.000 | 0.000 | 0.000 | 0.000  | 1915.000  | 1915.000    | 16641350.000    | 1915.000   |
| 8690  | 0   | 8690  | 0    | 0    | 0   | GET    | /js/main.js        | 0.000 | 0.000 | 0.000  | 0.000 | 0.000 | 0.000 | 0.000 | 0.000  | 1824.000  | 1824.000    | 15850560.000    | 1824.000   |
| 8690  | 0   | 8690  | 0    | 0    | 0   | GET    | /css/style.css     | 0.000 | 0.000 | 0.000  | 0.000 | 0.000 | 0.000 | 0.000 | 0.000  | 1549.000  | 1549.000    | 13460810.000    | 1549.000   |
| 8690  | 0   | 8690  | 0    | 0    | 0   | GET    | /favicon.ico       | 0.000 | 0.000 | 0.000  | 0.000 | 0.000 | 0.000 | 0.000 | 0.000  | 43.000    | 43.000      | 373670.000      | 43.000     |
+-------+-----+-------+------+------+-----+--------+--------------------+-------+-------+--------+-------+-------+-------+-------+--------+-----------+-------------+-----------------+------------+
