+-------+-----+-------+------+------+-----+--------+--------------------+-------+-------+--------+-------+-------+-------+-------+--------+-----------+-------------+-----------------+------------+
| COUNT | 1XX |  2XX  | 3XX  | 4XX  | 5XX | METHOD |        URI         |  MIN  |  MAX  |  SUM   |  AVG  |  P90  |  P95  |  P99  | STDDEV | MIN(BODY) |  MAX(BODY)  |    SUM(BODY)    | AVG(BODY)  |
+-------+-----+-------+------+------+-----+--------+--------------------+-------+-------+--------+-------+-------+-------+-------+--------+-----------+-------------+-----------------+------------+
| 7942  | 0   | 7942  | 0    | 0    | 0   | GET    | /                  | 0.002 | 0.042 | 94.552 | 0.012 | 0.018 | 0.020 | 0.025 | 0.004  | 2470.000  | 6043.000    | 21606786.000    | 2720.572   |
| 85739 | 0   | 85739 | 0    | 0    | 0   | GET    | /image/*           | 0.000 | 0.262 | 26.210 | 0.000 | 0.000 | 0.002 | 0.006 | 0.002  | 39440.000 | 1155222.000 | 29745855876.000 | 346934.952 |
| 1500  | 0   | 1500  | 0    | 0    | 0   | GET    | /posts             | 0.002 | 0.086 | 26.151 | 0.017 | 0.034 | 0.057 | 0.073 | 0.015  | 2137.000  | 5609.000    | 3904199.000     | 2602.799   |
| 8208  | 0   | 8208  | 0    | 0    | 0   | GET    | /posts/(\d+)       | 0.001 | 0.018 | 26.005 | 0.003 | 0.006 | 0.007 | 0.009 | 0.002  | 686.000   | 1804.000    | 6207593.000     | 756.286    |
| 1650  | 0   | 1650  | 0    | 0    | 0   | GET    | /@                 | 0.004 | 0.040 | 23.878 | 0.014 | 0.021 | 0.024 | 0.028 | 0.005  | 2409.000  | 2877.000    | 4349306.000     | 2635.943   |
| 5775  | 0   | 0     | 5775 | 0    | 0   | POST   | /login             | 0.001 | 0.012 | 10.638 | 0.002 | 0.003 | 0.004 | 0.006 | 0.001  | 0.000     | 0.000       | 0.000           | 0.000      |
| 1678  | 0   | 0     | 839  | 839  | 0   | POST   | /                  | 0.001 | 0.055 | 10.626 | 0.006 | 0.013 | 0.015 | 0.020 | 0.006  | 0.000     | 0.000       | 0.000           | 0.000      |
| 1386  | 0   | 0     | 1386 | 0    | 0   | POST   | /register          | 0.001 | 0.014 | 3.617  | 0.003 | 0.004 | 0.005 | 0.008 | 0.002  | 0.000     | 0.000       | 0.000           | 0.000      |
| 1349  | 0   | 0     | 1349 | 0    | 0   | POST   | /comment           | 0.001 | 0.012 | 3.427  | 0.003 | 0.004 | 0.005 | 0.007 | 0.002  | 0.000     | 0.000       | 0.000           | 0.000      |
| 1386  | 0   | 0     | 0    | 1386 | 0   | GET    | /admin/banned      | 0.001 | 0.010 | 2.744  | 0.002 | 0.004 | 0.005 | 0.007 | 0.001  | 0.000     | 0.000       | 0.000           | 0.000      |
| 908   | 0   | 908   | 0    | 0    | 0   | GET    | /login             | 0.000 | 0.012 | 1.648  | 0.002 | 0.003 | 0.004 | 0.005 | 0.001  | 615.000   | 615.000     | 558420.000      | 615.000    |
| 454   | 0   | 0     | 454  | 0    | 0   | GET    | /logout            | 0.001 | 0.009 | 0.727  | 0.002 | 0.003 | 0.004 | 0.006 | 0.001  | 24.000    | 24.000      | 10896.000       | 24.000     |
| 1     | 0   | 1     | 0    | 0    | 0   | GET    | /initialize        | 0.063 | 0.063 | 0.063  | 0.063 | 0.063 | 0.063 | 0.063 | 0.000  | 0.000     | 0.000       | 0.000           | 0.000      |
| 8464  | 0   | 8464  | 0    | 0    | 0   | GET    | /js/timeago.min.js | 0.000 | 0.000 | 0.000  | 0.000 | 0.000 | 0.000 | 0.000 | 0.000  | 1915.000  | 1915.000    | 16208560.000    | 1915.000   |
| 8464  | 0   | 8464  | 0    | 0    | 0   | GET    | /js/main.js        | 0.000 | 0.000 | 0.000  | 0.000 | 0.000 | 0.000 | 0.000 | 0.000  | 1824.000  | 1824.000    | 15438336.000    | 1824.000   |
| 8464  | 0   | 8464  | 0    | 0    | 0   | GET    | /css/style.css     | 0.000 | 0.000 | 0.000  | 0.000 | 0.000 | 0.000 | 0.000 | 0.000  | 1549.000  | 1549.000    | 13110736.000    | 1549.000   |
| 8464  | 0   | 8464  | 0    | 0    | 0   | GET    | /favicon.ico       | 0.000 | 0.000 | 0.000  | 0.000 | 0.000 | 0.000 | 0.000 | 0.000  | 43.000    | 43.000      | 363952.000      | 43.000     |
+-------+-----+-------+------+------+-----+--------+--------------------+-------+-------+--------+-------+-------+-------+-------+--------+-----------+-------------+-----------------+------------+
