+-------+-----+-------+------+------+-----+--------+--------------------+-------+-------+--------+-------+-------+-------+-------+--------+-----------+-------------+-----------------+------------+
| COUNT | 1XX |  2XX  | 3XX  | 4XX  | 5XX | METHOD |        URI         |  MIN  |  MAX  |  SUM   |  AVG  |  P90  |  P95  |  P99  | STDDEV | MIN(BODY) |  MAX(BODY)  |    SUM(BODY)    | AVG(BODY)  |
+-------+-----+-------+------+------+-----+--------+--------------------+-------+-------+--------+-------+-------+-------+-------+--------+-----------+-------------+-----------------+------------+
| 10016 | 0   | 10016 | 0    | 0    | 0   | GET    | /                  | 0.001 | 0.025 | 53.094 | 0.005 | 0.009 | 0.010 | 0.013 | 0.003  | 2437.000  | 6049.000    | 27469667.000    | 2742.579   |
| 8522  | 0   | 8522  | 0    | 0    | 0   | GET    | /posts/(\d+)       | 0.001 | 0.017 | 26.539 | 0.003 | 0.006 | 0.007 | 0.010 | 0.002  | 688.000   | 1804.000    | 6512003.000     | 764.140    |
| 86752 | 0   | 86752 | 0    | 0    | 0   | GET    | /image/*           | 0.000 | 0.057 | 25.632 | 0.000 | 0.000 | 0.002 | 0.006 | 0.001  | 39440.000 | 1155222.000 | 30504528136.000 | 351629.105 |
| 2193  | 0   | 2193  | 0    | 0    | 0   | GET    | /@                 | 0.002 | 0.026 | 16.485 | 0.008 | 0.012 | 0.013 | 0.018 | 0.003  | 2379.000  | 5983.000    | 5828228.000     | 2657.651   |
| 1530  | 0   | 1530  | 0    | 0    | 0   | GET    | /posts             | 0.002 | 0.074 | 14.453 | 0.009 | 0.019 | 0.038 | 0.058 | 0.011  | 2167.000  | 5786.000    | 7724088.000     | 5048.424   |
| 7162  | 0   | 0     | 7162 | 0    | 0   | POST   | /login             | 0.000 | 0.015 | 13.278 | 0.002 | 0.004 | 0.005 | 0.007 | 0.002  | 0.000     | 0.000       | 0.000           | 0.000      |
| 1904  | 0   | 0     | 952  | 952  | 0   | POST   | /                  | 0.001 | 0.048 | 11.977 | 0.006 | 0.013 | 0.015 | 0.019 | 0.005  | 0.000     | 0.000       | 0.000           | 0.000      |
| 2004  | 0   | 0     | 2004 | 0    | 0   | POST   | /register          | 0.001 | 0.019 | 4.958  | 0.002 | 0.005 | 0.006 | 0.008 | 0.002  | 0.000     | 0.000       | 0.000           | 0.000      |
| 1910  | 0   | 0     | 1910 | 0    | 0   | POST   | /comment           | 0.002 | 0.014 | 4.577  | 0.002 | 0.005 | 0.006 | 0.009 | 0.002  | 0.000     | 0.000       | 0.000           | 0.000      |
| 2004  | 0   | 0     | 0    | 2004 | 0   | GET    | /admin/banned      | 0.000 | 0.011 | 3.744  | 0.002 | 0.004 | 0.005 | 0.007 | 0.002  | 0.000     | 0.000       | 0.000           | 0.000      |
| 896   | 0   | 896   | 0    | 0    | 0   | GET    | /login             | 0.000 | 0.010 | 1.686  | 0.002 | 0.004 | 0.004 | 0.006 | 0.001  | 615.000   | 615.000     | 551040.000      | 615.000    |
| 448   | 0   | 0     | 448  | 0    | 0   | GET    | /logout            | 0.001 | 0.007 | 0.800  | 0.002 | 0.004 | 0.004 | 0.006 | 0.001  | 24.000    | 24.000      | 10752.000       | 24.000     |
| 1     | 0   | 1     | 0    | 0    | 0   | GET    | /initialize        | 0.034 | 0.034 | 0.034  | 0.034 | 0.034 | 0.034 | 0.034 | 0.000  | 0.000     | 0.000       | 0.000           | 0.000      |
| 8137  | 0   | 8137  | 0    | 0    | 0   | GET    | /js/timeago.min.js | 0.000 | 0.000 | 0.000  | 0.000 | 0.000 | 0.000 | 0.000 | 0.000  | 1915.000  | 1915.000    | 15582355.000    | 1915.000   |
| 8137  | 0   | 8137  | 0    | 0    | 0   | GET    | /js/main.js        | 0.000 | 0.000 | 0.000  | 0.000 | 0.000 | 0.000 | 0.000 | 0.000  | 1824.000  | 1824.000    | 14841888.000    | 1824.000   |
| 8137  | 0   | 8137  | 0    | 0    | 0   | GET    | /css/style.css     | 0.000 | 0.000 | 0.000  | 0.000 | 0.000 | 0.000 | 0.000 | 0.000  | 1549.000  | 1549.000    | 12604213.000    | 1549.000   |
| 8137  | 0   | 8137  | 0    | 0    | 0   | GET    | /favicon.ico       | 0.000 | 0.000 | 0.000  | 0.000 | 0.000 | 0.000 | 0.000 | 0.000  | 43.000    | 43.000      | 349891.000      | 43.000     |
+-------+-----+-------+------+------+-----+--------+--------------------+-------+-------+--------+-------+-------+-------+-------+--------+-----------+-------------+-----------------+------------+
