+-------+-----+-------+------+------+-----+--------+--------------------+-------+-------+--------+-------+-------+-------+-------+--------+-----------+-------------+-----------------+------------+
| COUNT | 1XX |  2XX  | 3XX  | 4XX  | 5XX | METHOD |        URI         |  MIN  |  MAX  |  SUM   |  AVG  |  P90  |  P95  |  P99  | STDDEV | MIN(BODY) |  MAX(BODY)  |    SUM(BODY)    | AVG(BODY)  |
+-------+-----+-------+------+------+-----+--------+--------------------+-------+-------+--------+-------+-------+-------+-------+--------+-----------+-------------+-----------------+------------+
| 9832  | 0   | 9832  | 0    | 0    | 0   | GET    | /                  | 0.001 | 0.081 | 59.293 | 0.006 | 0.009 | 0.011 | 0.015 | 0.003  | 2425.000  | 6044.000    | 26910870.000    | 2737.070   |
| 8475  | 0   | 8475  | 0    | 0    | 0   | GET    | /posts/(\d+)       | 0.000 | 0.033 | 29.481 | 0.003 | 0.006 | 0.008 | 0.010 | 0.002  | 686.000   | 1804.000    | 6465712.000     | 762.916    |
| 89910 | 0   | 89910 | 0    | 0    | 0   | GET    | /image/*           | 0.000 | 0.052 | 27.383 | 0.000 | 0.000 | 0.002 | 0.006 | 0.001  | 39440.000 | 1155222.000 | 30289125096.000 | 336882.717 |
| 2014  | 0   | 2014  | 0    | 0    | 0   | GET    | /@                 | 0.002 | 0.029 | 18.371 | 0.009 | 0.014 | 0.015 | 0.020 | 0.003  | 2367.000  | 5985.000    | 5346423.000     | 2654.629   |
| 6985  | 0   | 0     | 6985 | 0    | 0   | POST   | /login             | 0.001 | 0.012 | 14.118 | 0.002 | 0.004 | 0.005 | 0.008 | 0.002  | 0.000     | 0.000       | 0.000           | 0.000      |
| 1600  | 0   | 1600  | 0    | 0    | 0   | GET    | /posts             | 0.002 | 0.082 | 13.961 | 0.009 | 0.012 | 0.020 | 0.057 | 0.009  | 2183.000  | 5786.000    | 8319337.000     | 5199.586   |
| 1940  | 0   | 0     | 970  | 970  | 0   | POST   | /                  | 0.001 | 0.049 | 12.755 | 0.007 | 0.013 | 0.016 | 0.020 | 0.005  | 0.000     | 0.000       | 0.000           | 0.000      |
| 1949  | 0   | 0     | 1949 | 0    | 0   | POST   | /register          | 0.001 | 0.014 | 5.251  | 0.003 | 0.005 | 0.006 | 0.009 | 0.002  | 0.000     | 0.000       | 0.000           | 0.000      |
| 1725  | 0   | 0     | 1725 | 0    | 0   | POST   | /comment           | 0.001 | 0.014 | 4.685  | 0.003 | 0.005 | 0.006 | 0.010 | 0.002  | 0.000     | 0.000       | 0.000           | 0.000      |
| 1949  | 0   | 0     | 0    | 1949 | 0   | GET    | /admin/banned      | 0.001 | 0.026 | 4.084  | 0.002 | 0.004 | 0.006 | 0.008 | 0.002  | 0.000     | 0.000       | 0.000           | 0.000      |
| 914   | 0   | 914   | 0    | 0    | 0   | GET    | /login             | 0.000 | 0.010 | 1.779  | 0.002 | 0.004 | 0.004 | 0.006 | 0.001  | 615.000   | 615.000     | 562110.000      | 615.000    |
| 457   | 0   | 0     | 457  | 0    | 0   | GET    | /logout            | 0.001 | 0.010 | 0.855  | 0.002 | 0.004 | 0.004 | 0.006 | 0.001  | 24.000    | 24.000      | 10968.000       | 24.000     |
| 1     | 0   | 1     | 0    | 0    | 0   | GET    | /initialize        | 0.080 | 0.080 | 0.080  | 0.080 | 0.080 | 0.080 | 0.080 | 0.000  | 0.000     | 0.000       | 0.000           | 0.000      |
| 8338  | 0   | 8338  | 0    | 0    | 0   | GET    | /js/timeago.min.js | 0.000 | 0.000 | 0.000  | 0.000 | 0.000 | 0.000 | 0.000 | 0.000  | 1915.000  | 1915.000    | 15967270.000    | 1915.000   |
| 8338  | 0   | 8338  | 0    | 0    | 0   | GET    | /js/main.js        | 0.000 | 0.000 | 0.000  | 0.000 | 0.000 | 0.000 | 0.000 | 0.000  | 1824.000  | 1824.000    | 15208512.000    | 1824.000   |
| 8338  | 0   | 8338  | 0    | 0    | 0   | GET    | /css/style.css     | 0.000 | 0.000 | 0.000  | 0.000 | 0.000 | 0.000 | 0.000 | 0.000  | 1549.000  | 1549.000    | 12915562.000    | 1549.000   |
| 8338  | 0   | 8338  | 0    | 0    | 0   | GET    | /favicon.ico       | 0.000 | 0.000 | 0.000  | 0.000 | 0.000 | 0.000 | 0.000 | 0.000  | 43.000    | 43.000      | 358534.000      | 43.000     |
+-------+-----+-------+------+------+-----+--------+--------------------+-------+-------+--------+-------+-------+-------+-------+--------+-----------+-------------+-----------------+------------+
